sys2_row	sys_ra_id	category	swhw	heading_ancestor	signals	values	values_narrow	melco	anchor_kind	candidate_leaf	note	func_l1	func_l2	func_l3
13	SYS-RA-DM-012	Functional Requirement	System	r12 HU Behavior when receiving Implausible Signal Values	DCSD_DISP_STAT				signal		heading 錨無逐字 leaf 片語	B. 顯示與互動管理(Display and Interaction Management)	B.1. 顯示狀態控制(Display State Control)	B.1.3. DCSD 顯示狀態發送 (DCSD Display State Sending)
17	SYS-RA-DM-016	Functional Requirement	SW	r14 DCSD and HU HMI Communication		DCSD_and_HU_LVDS_Backchannel_Protocol,SD.xxxxx DCSD LVDS VIDEO COMMUNICATION INTERFACE	DCSD_and_HU_LVDS_Backchannel_Protocol		value		heading 錨無逐字 leaf 片語	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	A.1.1. 模組互動 (Module Interaction)
18	SYS-RA-DM-017	Functional Requirement	SW	r14 DCSD and HU HMI Communication		DCSD* and HU CAN and LVDS Backchannel Message Sequence Charts			value		heading 錨無逐字 leaf 片語	A. ICS/DCSD 系統整合(ICS/DCSD System Integration)	A.1. 模組間通訊(Inter-module Communication)	A.1.1. 模組互動 (Module Interaction)
26	SYS-RA-DM-025	Functional Requirement	HW	r22 BH-CAN Loss of Communication					heading		heading 錨無逐字 leaf 片語	C. 系統診斷與模式(System Diagnostics and Modes)	C.1. 故障偵測碼 (DTC) 管理(DTC Management)	C.1.1. DTC 成熟與儲存 (DTC Maturation & Storage)
28	SYS-RA-DM-027	Functional Requirement	HW	r22 BH-CAN Loss of Communication					heading		heading 錨無逐字 leaf 片語	C. 系統診斷與模式(System Diagnostics and Modes)	C.1. 故障偵測碼 (DTC) 管理(DTC Management)	C.1.1. DTC 成熟與儲存 (DTC Maturation & Storage)
31	SYS-RA-DM-030	Functional Requirement	System	r30 Multi-stage' DCSD Display Hot Algorithm	DCSD_DISP_STAT,RQ_DISP_INTS,TGW_DISP_STAT	DISP_HOT,DISP_OFF,current non-zero value	DISP_HOT,DISP_OFF		signal	SWE-DM-004,SWE-DM-005	heading 錨逐字含 leaf 片語：SWE-DM-004←'Hot Algorithm'；SWE-DM-005←'Hot Algorithm'	顯示與互動管理(Display and Interaction Management)	顯示狀態控制(Display State Control)	DCSD 顯示狀態發送 (DCSD Display State Sending)
32	SYS-RA-DM-031	Functional Requirement	System	r30 Multi-stage' DCSD Display Hot Algorithm	DCSD_DISP_STAT,RQ_DISP_INTS,TGW_DISP_STAT	0% Intensity,DISP_HOT,DISP_OFF	0% Intensity,DISP_HOT,DISP_OFF		signal	SWE-DM-004,SWE-DM-005	heading 錨逐字含 leaf 片語：SWE-DM-004←'Hot Algorithm'；SWE-DM-005←'Hot Algorithm'	顯示與互動管理(Display and Interaction Management)	顯示狀態控制(Display State Control)	DCSD 顯示狀態發送 (DCSD Display State Sending)
33	SYS-RA-DM-032	Functional Requirement	System	r30 Multi-stage' DCSD Display Hot Algorithm	RQ_DISP_INTS,TGW_DISP_STAT	0% Intensity,DISP_OFF,current non-zero value	0% Intensity,DISP_OFF		signal	SWE-DM-004,SWE-DM-005	heading 錨逐字含 leaf 片語：SWE-DM-004←'Hot Algorithm'；SWE-DM-005←'Hot Algorithm'	顯示與互動管理(Display and Interaction Management)	顯示狀態控制(Display State Control)	DCSD 顯示狀態發送 (DCSD Display State Sending)
34	SYS-RA-DM-033	Functional Requirement	System	r30 Multi-stage' DCSD Display Hot Algorithm	DCSD_DISP_STAT	DISP_HOT,DISP_ON	DISP_HOT,DISP_ON		signal	SWE-DM-004,SWE-DM-005	heading 錨逐字含 leaf 片語：SWE-DM-004←'Hot Algorithm'；SWE-DM-005←'Hot Algorithm'	顯示與互動管理(Display and Interaction Management)	顯示狀態控制(Display State Control)	高溫狀態恢復正常操作 (High Temperature State Normal Operation Recovery)
37	SYS-RA-DM-036	Functional Requirement	System	r36 Rear Camera Interrupts	DCSD_DISP_STAT,TGW_DISP_STAT	DISP_REAR_CAMERA,RR_CMRA	DISP_REAR_CAMERA,RR_CMRA		signal		heading 錨無逐字 leaf 片語	影像顯示與切換(Image Display and Switching)	攝影機啟動與停用邏輯(Camera Activation and Deactivation Logic)	顯示優先級 (Display Priority)
39	SYS-RA-DM-038	Functional Requirement	System	r38 HU and DCSD Screen ON behavior	RQ_DISP_INTS,TGW_DISP_STAT	0% Intensity,DISP_NORMAL	0% Intensity,DISP_NORMAL		signal		heading 錨無逐字 leaf 片語	顯示與互動管理(Display and Interaction Management)	顯示狀態控制(Display State Control)	DCSD 顯示狀態發送 (DCSD Display State Sending)
41	SYS-RA-DM-040	Functional Requirement	System	r40 Rear Camera Events	RQ_DISP_INTS,TGW_DISP_STAT	0% Intensity,DISP_REAR_CAMERA	0% Intensity,DISP_REAR_CAMERA		signal		heading 錨無逐字 leaf 片語	影像顯示與切換(Image Display and Switching)	攝影機啟動與停用邏輯(Camera Activation and Deactivation Logic)	顯示優先級 (Display Priority)
42	SYS-RA-DM-041	Functional Requirement	System	r40 Rear Camera Events	RQ_DISP_INTS,TGW_DISP_STAT	0% Intensity,DISP_NORMAL	0% Intensity,DISP_NORMAL		signal		heading 錨無逐字 leaf 片語	影像顯示與切換(Image Display and Switching)	攝影機啟動與停用邏輯(Camera Activation and Deactivation Logic)	顯示優先級 (Display Priority)
44	SYS-RA-DM-043	Functional Requirement	System	r43 Rear Camera Interrupts	RQ_DISP_INTS,TGW_DISP_STAT	0% Intensity,DISP_REAR_CAMERA	0% Intensity,DISP_REAR_CAMERA		signal		heading 錨無逐字 leaf 片語	影像顯示與切換(Image Display and Switching)	攝影機啟動與停用邏輯(Camera Activation and Deactivation Logic)	顯示優先級 (Display Priority)
45	SYS-RA-DM-044	Functional Requirement	System	r43 Rear Camera Interrupts	RQ_DISP_INTS,TGW_DISP_STAT	0% Intensity,DISP_OFF	0% Intensity,DISP_OFF		signal		heading 錨無逐字 leaf 片語	影像顯示與切換(Image Display and Switching)	攝影機啟動與停用邏輯(Camera Activation and Deactivation Logic)	顯示優先級 (Display Priority)
47	SYS-RA-DM-046	Functional Requirement	System	r46 Screen Touch Event Interrupts for DCSD	RQ_DISP_INTS,TGW_DISP_STAT	DISP_NORMAL,current non-zero value	DISP_NORMAL		signal		heading 錨無逐字 leaf 片語	使用者互動與設定(User Interaction & Settings)	觸控螢幕互動(Touchscreen Interaction)	外部顯示器手勢處理 (External Display Gesture Handling)
49	SYS-RA-DM-048	Functional Requirement	System	r48 HU 3-second Timer Times Out	RQ_DISP_INTS,TGW_DISP_STAT	0% Intensity,DISP_OFF	0% Intensity,DISP_OFF		signal		heading 錨無逐字 leaf 片語	使用者互動與設定(User Interaction & Settings)	觸控螢幕互動(Touchscreen Interaction)	外部顯示器手勢處理 (External Display Gesture Handling)
52	SYS-RA-DM-051	Functional Requirement	System	r51 Rear Camera Events	RQ_DISP_INTS,TGW_DISP_STAT	0% Intensity,DISP_REAR_CAMERA	0% Intensity,DISP_REAR_CAMERA		signal		heading 錨無逐字 leaf 片語	影像顯示與切換(Image Display and Switching)	攝影機啟動與停用邏輯(Camera Activation and Deactivation Logic)	顯示優先級 (Display Priority)
