規格原名	類別	排除(A-VT21)	抽名來源	段2主值(Atlantis)	Atlantis CAN	旁證(Atlantis High)	段1命中處	結果	備註
AHBM_Feature_Menu	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r587：`AHBM_Feature_Menu`
Ambient_Dimmer_Switch	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r538：`Ambient_Dimmer_Switch`
Ambient_Lighting_Function	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r595：`Ambient_Lighting_Function`
Ambient_Lighting_level_Setting.Req	內部		段落					未解得(止於段1)	
AppPrivacyMode_Enable.Req	內部		段落					未解得(止於段1)	
App_ClearPersonalData_Enable.Req	內部		段落					未解得(止於段1)	
App_PrivacyMode_Enable.Req	內部		段落					未解得(止於段1)	
App_RestoreApp_Enable.Req	內部		段落					未解得(止於段1)	
App_RestoreDefaultSetting_Enable.Req	內部		段落					未解得(止於段1)	
AudioRepetition.Info	內部		段落					未解得(止於段1)	
Auto_Close_Menu	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r480：`Auto_Close_Menu`
Auto_Door_Unlock_Menu	PROXI		段落;表格					PROXI路徑(R-P375b/c)	PROXI `Format` r586：`Auto_Door_Unlock_Menu`
Auto_High_Beam_Enable.Req	內部		段落					未解得(止於段1)	
Auto_Park_Brake_Enable.Req	內部		段落;表格					未解得(止於段1)	
Auto_Park_Brake_Menu	PROXI		段落;表格					UI+PROXI 雙路徑	"UI：""Auto Park Brake""（HMI Settings r509B，Technical Reference=VF230/665）／PROXI：`Auto_Park_Brake_Menu`（Format r578）；Procedure 用 UI、Pre-Condition 用 PROXI（R-P375(b)）"
Auto_Unlock_Door_Exit_Enable.Req	內部		段落					未解得(止於段1)	
